Participant,full,melody,lyrics,full_random,melody_random,lyrics_random,MusicExperience
1,58.82352941,64.70588235,42.85714286,100,100,100,1
2,70.58823529,47.05882353,57.14285714,100,100,100,1
3,64.70588235,76.47058824,50,100,100,100,1
4,52.94117647,47.05882353,50,100,100,100,1
5,64.70588235,64.70588235,50,100,100,100,1
6,58.82352941,47.05882353,42.85714286,100,100,100,1
7,52.94117647,58.82352941,50,100,100,100,1
8,52.94117647,58.82352941,64.28571429,100,100,100,1
9,58.82352941,58.82352941,42.85714286,88.23529412,76.47058824,100,0
10,76.47058824,58.82352941,42.85714286,100,94.11764706,100,0
11,41.17647059,52.94117647,42.85714286,94.11764706,100,100,0
12,47.05882353,41.17647059,35.71428571,76.47058824,70.58823529,100,0
13,52.94117647,52.94117647,50,100,100,100,0
14,47.05882353,47.05882353,57.14285714,88.23529412,94.11764706,100,0
15,64.70588235,47.05882353,42.85714286,94.11764706,100,100,1
16,70.58823529,41.17647059,42.85714286,82.35294118,94.11764706,100,0
17,41.17647059,47.05882353,64.28571429,82.35294118,64.70588235,88.23529412,0
18,70.58823529,58.82352941,50,100,100,100,0
19,64.70588235,52.94117647,50,100,100,100,1
20,47.05882353,47.05882353,50,100,100,100,1